Identifiant station;Nom de la station;Capacité de la station;Coordonnées géographiques;station_opening_hours
21402;Place Aimé Césaire;27;48.783194713067815, 2.2429127991199493;
41203;Stalingrad - Rigollots;51;48.84997403844251, 2.45557576417923;
18139;Poissonniers - Championnet;28;48.89543299733937, 2.3530178144574165;
15008;Sèvres - Lecourbe;62;48.8447677, 2.3110086;
20008;Pyrénées - Avron;32;48.853246898211985, 2.405871044529538;
6104;Herschel - Observatoire;56;48.84342376221923, 2.3376645147800446;
9037;Parme - Clichy;24;48.881266424227, 2.3281970934506;
2003;Saint-Denis - Réaumur;32;48.8661116315789, 2.3507790675507594;
32304;Charcot - Benfleet;28;48.878370277021, 2.440523876268;
14014;Jourdan - Stade Charléty;60;48.819428333369, 2.3433353751898;
5110;Lacépède - Monge;23;48.84389286531899, 2.3519663885235786;
13101;Croulebarde - Corvisart;34;48.830981659316855, 2.3481646925210953;
16138;Saint-Cloud - Hippodrome;30;48.85772148887421, 2.2549109905958176;
13104;Gare d'Austerlitz - Quai Saint-Bernard;27;48.84369030864, 2.3657163977623;
26002;Redoute - Les Courtilles;40;48.929867194519, 2.2836696356535;
15067;Desaix - Edgar Faure;12;48.852804604940296, 2.293077029857222;
10016;Récollets - Square Villemin;17;48.875034655883944, 2.359801238597928;
11030;Oberkampf - République;24;48.86531608707, 2.37611478491;
18201;Tristan Tzara -  Tchaïkovski;33;48.89490221746837, 2.3648490384221077;
20132;Réunion - Avron;26;48.852566752033766, 2.403928068708116;
31705;Champeaux - Gallieni;50;48.864459134684644, 2.4161778017878532;
12126;Gravelle - Route du Bac;51;48.824407, 2.418455;
5026;Pascal - Claude Bernard;49;48.839061952159746, 2.3499782010912895;
14139;Pierre Larousse - Raymond Losserand;30;48.83059564231877, 2.3119183257222176;
21308;Bara - Henri Farman;58;48.833218027457846, 2.2677567601203923;
31019;Vincennes - Douy-Delcupe;38;48.85493692155721, 2.436049282550812;
9117;Bellefond - Maubeuge;31;48.878255397645, 2.3452642187476;
11010;Boulets - Faubourg Saint-Antoine;43;48.849259262115, 2.3917546141943;
32015;Gare RER de Saint-Denis;40;48.93554324248177, 2.3471488058567047;
10207;Charles Robin - Grange aux Belles;23;48.877376705016, 2.3698456519833;
11034;Parmentier - Fontaine au Roi;48;48.86787670551736, 2.372705978671471;
23008;Hôtel de Ville de Levallois Perret;26;48.89314451997415, 2.2888818383216862;
9113;Bleue - Trévise;30;48.87578906564573, 2.347289621829987;
20204;Monte Cristo - Bagnolet;0;48.85656581187, 2.3972699046135;
21951;Place Centrale;22;48.78740167690531, 2.2278830409049992;
92005;Gare de Nanterre Ville;43;48.8950295, 2.1957932;
35015;Averroès - Aimé Césaire;19;48.91405323432864, 2.412636950612068;
21029;Cours de l'Ile Seguin - Parc Billancourt;29;48.82714055843935, 2.234234511852265;
41210;Hôtel de ville de Fontenay-sous-Bois;20;48.84949749106274, 2.4750164151191716;
44101;Place Mongolfier;39;48.815160030060376, 2.4592879414558415;
15005;Place Jacques et Thérèse Tréfouël;43;48.842726498317, 2.3125657439232;
7017;La Motte-Picquet - La Tour Maubourg;40;48.856926701847, 2.3096215831203;
35006;Delizy - Louis Nadot;22;48.896212845581346, 2.4094578623771667;
32601;Porte des Lilas - Faidherbe;39;48.87861855668978, 2.4120327830314636;
13516;Glacière - Soeur Catherine Marie;40;48.829522989420596, 2.343570403754711;
7202;Constant Coquelin - Invalides;31;48.848283157236, 2.315749520203;
5115;Buffon - Jardin des Plantes;30;48.842668466104875, 2.3618587106466293;
21319;Esplanade du Foncet - Camille Desmoulins;28;48.827090233495, 2.2606857866049;
15129;Hôpital Necker;40;48.846043490118454, 2.313245013356209;
33014;Parc Eli Lotar;20;48.91844993053703, 2.3727085813879967;
48004;Maxime Gorki - Louis Aragon;20;48.78909814728443, 2.368387877941132;
14001;Edgar Quinet - Gaité;27;48.841160928966, 2.324595451355;
44014;Camille Risch - Paul Armangot;25;48.774703, 2.373685;
21309;Mairie d'Issy;41;48.823767792468, 2.2723111510277;
7012;Cité Vaneau;26;48.8542210666207, 2.319614924490452;
8110;Gare Saint-Lazare - Stockholm;32;48.877127316667654, 2.322417162358761;
20029;Frères Flavien - Porte des Lilas;23;48.8780992764359, 2.41104629853209;
9111;Victoire - Laffitte;20;48.87514373494672, 2.338118505144376;
44001;Quai Jules Guesde - Saint-Simon;30;48.80391487219, 2.4089661620274;
22603;Place de la Division Leclerc;34;48.793824988636516, 2.2731140430551027;
6029;Vaugirard - Monsieur le Prince;26;48.848951441614, 2.3411329463124;
26012;Jardin Modèle - Pierre Boudou;18;48.914866710946, 2.3057010525935;
24101;Place Charles de Gaulle;24;48.826073335699, 2.1894485725692;
31104;Mairie de Rosny-sous-Bois;30;48.871256519012, 2.4865807592869;
5033;Saint-Séverin - Saint-Michel;30;48.852731305488, 2.3440927639604;
6028;Quatre Vents - Carrefour de l'Odéon;37;48.851751374458864, 2.338161695134053;
15014;Volontaires - Vaugirard;34;48.84132050184004, 2.30808901725357;
41101;Paul Doumer - Stalingrad;24;48.806518992199, 2.3368880152702;
9029;Saint-Lazare - Place d'Estienne d'Orves;39;48.8768345, 2.3329067;
34009;Dora Maar - Nadia Guendouz;30;48.905452421305, 2.3220406472683;
12001;Bastille - Biscornet;62;48.851355779579, 2.369220033288;
21327;Jean Bouin - Gouverneur Général Eboué;31;48.824792734266, 2.2651904328524;
26009;Marceau Delorme - Pierre Brossolette;28;48.91206062860357, 2.295897423568745;
31201;Suzanne Masson;37;48.923306888013, 2.3847292397611;
40010;Haut du Mont-Mesly;21;48.780191921646, 2.4685737495183;
14021;Place de la Porte de Châtillon;59;48.8242469, 2.3186306;
13106;Bobillot - Paulin Mery;23;48.829899841747, 2.3543356766749;
20137;Borrégo - Gambetta;25;48.87330497045532, 2.4014145880937576;
12127;Tremblay - Lac des Minimes;48;48.834131261494, 2.4547516554594;
3006;Mairie du 3ème;32;48.86446178139141, 2.361762821674347;
4012;Tiron - Rivoli;28;48.855692253233, 2.3579058051109;
21505;Édouard Vaillant - Place Jean Jaurès;24;48.86265537999924, 2.2089037319128613;
16044;Porte de Saint Cloud - Parc des Princes;32;48.838662757066, 2.2525164484978;
32024;Port - Confluence;26;48.936093926526, 2.3436167797955;
23107;Gare de Sèvres - Ville d'Avray;22;48.826262366227, 2.2001516849313;
1023;Saint-Honoré - Musée du Louvre;32;48.863443132848, 2.3348781846405;
12166;Parc Floral du Bel Air;25;48.839285711865735, 2.438560165464878;
21002;Place Denfert-Rochereau;20;48.843252536286684, 2.245987951755524;
11022;Roquette - Auguste Laurent;16;48.858001906023354, 2.381797702650783;
13120;Pierre Joseph Desault;19;48.82110230800372, 2.378775402903557;
20014;Charonne - Alexandre Dumas;35;48.856077415056, 2.3948693275452;
30004;Jean Jaurès - Place de la Libération;29;48.90617751921, 2.4391458057475;
32306;Verdun - Carnot;29;48.883814948134, 2.4402657783125;
20011;Pyrénées - Dagorno;20;48.855425770695085, 2.4051643162965775;
19123;Metz - Marne;33;48.891163, 2.3865705;
6009;Guynemer - Jardin du Luxembourg;36;48.8466127, 2.3325478;
20035;Pyrénées - Ménilmontant;26;48.8693268535238, 2.395084574818611;
13053;Chevaleret - Tolbiac;35;48.82941, 2.375934;
48011;Epi d'Or - Chevilly;20;48.781109786782, 2.3549050362061;
47007;Liberté - Vert-de-Maisons;20;48.790147809608, 2.4328628182411;
5201;Saint-Jacques - Soufflot;16;48.846280383395, 2.3430785379567;
15105;Fédération - Suffren;25;48.852828153442, 2.2978776320815;
10031;Louis Blanc - Aqueduc;37;48.882030182599, 2.363561578095;
32017;Basilique;22;48.93626891059109, 2.3588666820200914;
15068;Général Martial Valin - Pont du Garigliano;16;48.83823094269141, 2.270506024360657;
16202;Commandant Schloesing - Pétrarque;30;48.861773096259, 2.2838841134601;
12111;Claude Decaen - Cannebière;45;48.83761417037952, 2.397253782195704;
18011;Pajol - Place Herbert;39;48.8927825, 2.3635598;
20042;Pyrénées - Emmery;40;48.87202880542, 2.3918598091484;
14106;Marc Sangnier - Porte de Vanves;21;48.825218683556734, 2.3107116669416428;
22406;Guy Môquet - Etienne Dolet;23;48.81527009991819, 2.298078276995073;
15110;Place Robert Guillemard;24;48.836191728066666, 2.2811267160086417;
1119;Cossonnerie - Sébastopol;24;48.86132665908402, 2.349419631063938;
11105;Parmentier - République;45;48.8644954, 2.3750124;
32302;Chemin Vert - Fraternité;20;48.877141208359035, 2.4461565166711807;
20121;Boyer - Ménilmontant;19;48.868895162679, 2.3919824145635;
20111;Villiers de l'Isle Adam - Pyrénées;20;48.867362, 2.396222;
5123;Saint-Germain - Thenard;31;48.850571, 2.3471015;
12013;Montgallet - Reuilly;15;48.844291, 2.3896481;
25005;18 juin 1940 - Buzenval;25;48.868807, 2.185428;
13045;Jean Colly - Tolbiac;36;48.827817291597846, 2.3705490678548813;
14034;Ouest - Château;23;48.83617286014242, 2.319392143923804;
20113;Piat - Parc de Belleville;21;48.87195626635528, 2.384981390278095;
11114;Ledru-Rollin - Charonne;32;48.85345855607243, 2.3772463581947094;
10023;Gare de l'Est - Verdun;14;48.876156054271, 2.3609149083206;
23002;Pont de Levallois-bécon;50;48.8984179, 2.2791311;
21032;Sèvres-Gallieni;27;48.837809408957, 2.2281519323587;
44012;Génie - Mozart;19;48.794902381218904, 2.3734183609485626;
51003;Hôtel de Ville d'Argenteuil;30;48.946504, 2.2496396;
17121;Square des Epinettes;20;48.89383909781389, 2.325953990221024;
16021;François Ponsard - La Muette;23;48.8583666, 2.2744515;
17040;Pereire - Ternes;48;48.87973954830735, 2.288012132048607;
47004;Stade Auguste Delaune;21;48.80896378683884, 2.4345204234123234;
7101;Raspail - Chomel;49;48.852233164303, 2.3266580700874;
7016;Surcouf - Université;58;48.861273016278, 2.3094535509142;
32018;Franciade - Gabriel Péri;26;48.93261499331498, 2.355954498052597;
41206;Place des Larris;34;48.8568363, 2.4780236;
8015;Roquépine - Malesherbes;53;48.873450733908, 2.3204044997692;
19030;Melun - Jean Jaurès;28;48.8837796723475, 2.376477420330048;
17005;Brochant - Clichy;53;48.89032998912038, 2.319730559929781;
